# Provided list 2: German tech startups/scale-ups + global hubs. Format: Company | City / Sector | Career URL
BurdaForward | Munich / AdTech | https://www.burda-forward.de/en/career/jobs/
trbo | Munich / AdTech | https://www.trbo.com/careers/
Combyne | Munich / App Tech | https://www.combyne.com/careers/
Freeletics | Munich / Health & Fitness AI | https://www.freeletics.com/en/corporate/
MING Labs | Munich / Digital Innovation | https://minglabs.com/careers/
BetterTaxi | Munich / Mobility | https://www.bettertaxi.com/jobs/
FAZUA | Munich / Automotive Tech | https://fazua.com/en/company/jobs/
Fleetster | Munich / Automotive SaaS | https://fleetster.breezy.hr/
FlixBus | Munich / Travel & Mobility | https://flix.careers/job
ParkHere | Munich / Smart Mobility | https://park-here.eu/karriere/
SIXT | Munich / Mobility Provider | https://www.sixt.jobs/en/
Adobe (German Hub) | Munich / BigTech | https://careers.adobe.com/us/en/
Cisco (German Hub) | Munich / Networking | https://jobs.cisco.com/jobs/
Google (German Hub) | Munich / BigTech | https://careers.google.com/
Hubert Burda Media | Munich / Media Tech | https://www.burda.com/de/karriere/
IBM (German Hub) | Munich / BigTech | https://www.ibm.com/careers/de-de/
mgm technology partners | Munich / Enterprise Software | https://jobs.mgm-tp.com/jobs.html
Microsoft (German Hub) | Munich / Software | https://careers.microsoft.com/v2/global/en/home.html
Rohde & Schwarz | Munich / Telecommunications | https://www.rohde-schwarz.com/de/karriere/stellenangebote/karriere-stellenangebote_251573.html
Thoughtworks (Germany) | Munich / IT Consulting | https://www.thoughtworks.com/de-de/careers/
Yahoo (German Hub) | Munich / Internet Media | https://www.yahooinc.com/careers/
Amazon (German Hub) | Munich / Cloud & E-commerce | https://www.amazon.jobs/en/
NFON | Munich / Telecommunications | https://corporate.nfon.com/en/careers/careers/
Datarella | Munich / Blockchain | https://datarella.com/careers/
Building Radar | Munich / Data Analysis | https://buildingradar.com/career/
CHECK24 | Munich / Comparison Portal | https://jobs.check24.de/en/jobs/
commercetools | Munich / eCommerce | https://commercetools.com/careers/jobs/
CUPONATION (GSG) | Munich / eCommerce | https://www.global-savings-group.com/careers/
givve | Munich / B2B FinTech | https://givve.com/de/karriere/
limango | Munich / eCommerce | https://www.limango.de/jobs/
lingoking | Munich / eCommerce Services | https://www.lingoking.com/en/about-us/jobs
Mytheresa | Munich / Luxury Fashion | https://career.mytheresa.com/en/open-positions/
Planet Sports | Munich / eCommerce | https://www.planet-sports.de/c/planet-sports-inside/jobs/
