company,sector,city,career_url,source
Celonis,Consulting / Process Mining,Munich,https://www.celonis.com/careers/jobs/,corporate
Siemens AG,Conglomerate / Engineering,Munich,https://jobs.siemens.com/careers/,corporate
BASF SE,Chemicals & Materials,Ludwigshafen,https://www.basf.com/global/en/careers.html,corporate
Volkswagen AG,Automotive Manufacturing,Wolfsburg,https://careers.volkswagen.com/,corporate
Deutsche Bank AG,Global Banking & Finance,Frankfurt,https://careers.db.com/,corporate
SAP SE,Enterprise Software,Walldorf,https://jobs.sap.com/,corporate
Allianz SE,Global Insurance,Munich,https://careers.allianz.com/,corporate
BMW AG,Automotive Manufacturing,Munich,https://www.bmwgroup.jobs/en.html,corporate
Daimler AG,Automotive Manufacturing,Stuttgart,https://group.mercedes-benz.com/careers/,corporate
Fresenius SE & Co. KGaA,Healthcare & Medical,Bad Homburg,https://career.fresenius.com/,corporate
Bayer AG,Pharmaceuticals,Leverkusen,https://career.bayer.com/,corporate
IONOS,Cloud Computing & Web,Karlsruhe,https://jobs.ionos.com/,corporate
Deutsche Telekom AG,Telecommunications,Bonn,https://www.telekom.com/en/careers,corporate
Thyssenkrupp AG,Industrial Manufacturing,Essen,https://karriere.thyssenkrupp.com/en,corporate
Henkel AG & Co. KGaA,Consumer Goods,Düsseldorf,https://www.henkel.com/careers,corporate
Continental AG,Automotive Components,Hanover,https://www.continental.com/en/career/,corporate
Deutsche Lufthansa AG,Aviation & Aerospace,Cologne,https://www.be-lufthansa.com/,corporate
Merck KGaA,Pharmaceuticals,Darmstadt,https://www.merckgroup.com/en/careers.html,corporate
Deutsche Post DHL Group,Global Logistics,Bonn,https://careers.dhl.com/eu/de/search-results,corporate
Robert Bosch GmbH,Engineering & Tech,Gerlingen,https://www.bosch.com/careers/,corporate
Evonik Industries AG,Specialty Chemicals,Essen,https://careers.evonik.com/,corporate
Infineon Technologies AG,Semiconductor Design,Neubiberg,https://www.infineon.com/cms/en/careers/,corporate
Beiersdorf AG,Consumer Goods,Hamburg,https://www.beiersdorf.com/career/,corporate
Lanxess AG,Specialty Chemicals,Cologne,https://careers.lanxess.com/,corporate
HeidelbergCement AG,Construction Materials,Heidelberg,https://www.heidelbergmaterials.com/en/careers,corporate
Osram Licht AG,Lighting Technology,Munich,https://careers.ams-osram.com/en/ams-osram-career/,corporate
E.ON SE,Energy & Utilities,Essen,https://www.eon.com/en/about-us/careers.html,corporate
FUCHS PETROLUB SE,Chemical Lubricants,Mannheim,https://www.fuchs.com/group/careers/,corporate
Deutsche Wohnen SE,Real Estate Management,Berlin,https://www.deutsche-wohnen.com/karriere/,corporate
Symrise AG,Flavors and Fragrances,Holzminden,https://www.symrise.com/career/,corporate
Brenntag AG,Chemicals Distribution,Essen,https://www.brenntag.com/en-global/careers/,corporate
ProSiebenSat.1 Media SE,Broadcast Media,Unterföhring,https://karriere.prosiebensat1.com/,corporate
PUMA SE,Athletic Apparel,Herzogenaurach,https://about.puma.com/en/careers,corporate
Celesio AG,Healthcare Logistics,Stuttgart,https://www.mckesson.eu/careers/,corporate
KION Group AG,Material Handling,Frankfurt,https://www.kiongroup.com/en/Careers/,corporate
Wacker Chemie AG,Chemical Manufacturing,Munich,https://www.wacker.com/cms/en-us/careers/overview.html,corporate
TÜV SÜD AG,Testing & Certification,Munich,https://www.tuvsud.com/en/careers,corporate
Knorr-Bremse AG,Automotive Components,Munich,https://www.knorr-bremse.com/en/careers/,corporate
Stada Arzneimittel AG,Pharmaceuticals,Bad Vilbel,https://www.stada.com/careers,corporate
